Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8146067415730337,0.7966101694915254,0.6911764705882353,0.7401574803149606,0.8685828877005348
Decision Tree,0.8033707865168539,0.7538461538461538,0.7205882352941176,0.7368421052631579,0.7814171122994653
Tuned Random Forest,0.7865168539325843,0.75,0.6617647058823529,0.703125,0.8129679144385026
